peak	level_m	date	period	phrase	tmax_c	tmin_c	chill_c	rain_mm	snow_cm	freezing_level_m	wind
Punta-Tersiva	3000	2026-09-10	PM	risk tstorm	2	2	0	3	—	3300	0   NNE
Punta-Tersiva	3000	2026-09-10	night	snow shwrs	2	1	-2	—	3	3250	5   NW
Punta-Tersiva	3000	2026-09-11	AM	some clouds	3	3	0	—	—	3500	10   NW
Punta-Tersiva	3000	2026-09-11	PM	some clouds	4	3	0	—	—	3550	10   NW
Punta-Tersiva	3000	2026-09-11	night	rain shwrs	3	3	1	0.1	—	3450	0   WNW
Punta-Tersiva	3000	2026-09-12	AM	clear	4	3	2	—	—	3650	5   NW
Punta-Tersiva	3000	2026-09-12	PM	clear	6	5	3	—	—	3900	10   NW
Punta-Tersiva	3000	2026-09-12	night	clear	6	5	2	—	—	4050	5   NW
Punta-Tersiva	3000	2026-09-13	AM	some clouds	6	6	4	—	—	4000	10   NW
Punta-Tersiva	3000	2026-09-13	PM	cloudy	6	6	3	—	—	3850	15   NW
Punta-Tersiva	3000	2026-09-13	night	clear	5	3	0	—	—	3600	10   NW
Punta-Tersiva	3000	2026-09-14	AM	clear	4	3	1	—	—	3650	5   NNW
Punta-Tersiva	3000	2026-09-14	PM	clear	6	4	2	—	—	3950	15   NW
Punta-Tersiva	3000	2026-09-14	night	clear	5	4	4	—	—	3850	5   W
